,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
0,AEG01,ALB,2020,142.5,360,679,456,3967,3849,1046,3088,3638,1834,867
1,AEG02,ALB,2020,311,338,611.5,395,4608.5,4449,945.5,3236,4176,1752,776.5
2,AEG03,ALB,2020,89,405,743,551.5,3813,3725,1208.5,2986.5,3470,1990.5,982.5
3,AEG04,ALB,2020,113.5,316,637,370.5,4873.5,4746,1031,3510,4435.5,1885,852
4,AEG05,ALB,2020,94.5,353,645,434,4204,4026,1037,3107,3785,1963,906
5,AEG06,ALB,2020,104,322,585,401,3876,3725,948,2819,3489,1881,902
6,AEG07,ALB,2020,16.5,598,879.5,918.5,3437,3151.5,1508,2633,2994,2917,1628.5
7,AEG08,ALB,2020,15,618.5,961,930,3838.5,3633.5,1581,2996.5,3414.5,2778.5,1450
8,AEG09,ALB,2020,41,655,961,993,3439,3222,1545,2667,3002,2909,1633
9,AEG10,ALB,2020,44.5,571.5,899.5,907,3741.5,3555.5,1479.5,2851.5,3266.5,2759,1473.5
10,AEG11,ALB,2020,165,277,592,322,4489,4374,921,3302,4129,1660,719
11,AEG12,ALB,2020,101.5,389,681,539,3454,3360,1056,2642,3107,2067,1089
12,AEG13,ALB,2020,257.5,379,659,487,3994,3787,1048,2929,3567,2123,1051
13,AEG14,ALB,2020,128,395.5,746,522,4465.5,4238.5,1191,3393,4067,2032,957
14,AEG15,ALB,2020,234,276.5,571.5,297,4633.5,4495.5,939.5,3370.5,4235,1570,693.5
15,AEG16,ALB,2020,66.5,392.5,746.5,502.5,4131,3894,1198.5,3149,3687,2142,1020.5
16,AEG17,ALB,2020,97,450,834,610,4221,4077,1334,3319,3810,2207,1069
17,AEG18,ALB,2020,159.5,326,634.5,392.5,4522,4316.5,1021.5,3349.5,4139.5,1803,824
18,AEG19,ALB,2020,193.5,323,596,334,4827,4756,932,3395,4421,1799,779
19,AEG20,ALB,2020,65,317,771,431,5078,4815,1262,3817,4550,2107,943
20,AEG21,ALB,2020,97,336,634,432.5,3833.5,3660.5,999,2927,3487,1895.5,900.5
21,AEG22,ALB,2020,56,578,916,817,4251,3882,1486,3298,3782,2643,1335
22,AEG23,ALB,2020,,399.5,750,525.5,3979,3817.5,1244,2973.5,3508,2255,1115
23,AEG24,ALB,2020,177.5,328,670.5,393.5,4572,4490.5,1076,3465.5,4230,1825,833.5
24,AEG25,ALB,2020,5.5,551.5,846.5,846,3470.5,3200,1415.5,2653.5,3037,2701,1456
25,AEG26,ALB,2020,11,533,812,807,3266,3039,1405,2511,2850,2654,1441
26,AEG27,ALB,2020,13,598.5,888.5,895.5,3342.5,3160.5,1470,2617,2957,2644.5,1473.5
27,AEG28,ALB,2020,22.5,666,1014.5,1046.5,3695,3511.5,1679.5,2904.5,3264,3087,1719
28,AEG29,ALB,2020,14.5,484,859,730,3974,3771,1410,3093,3506,2582,1302
29,AEG30,ALB,2020,133.5,314,655,383,4338,4311,1099,3335,3961,1863,838
30,AEG31,ALB,2020,58,446.5,761.5,625.5,3692.5,3584.5,1264.5,2864.5,3330,2348,1241.5
31,AEG32,ALB,2020,66.5,622,976,985,3702,3524,1576,2861,3263,2700,1493
32,AEG33,ALB,2020,33.5,512,835,777,3610.5,3390.5,1401,2739.5,3164,2796,1450.5
33,AEG34,ALB,2020,27.5,483,869,670,4107.5,3935,1432,3237,3699.5,2602,1315.5
34,AEG35,ALB,2020,213,290,548,331,4062,3889,897,2930,3666,1739,787
35,AEG36,ALB,2020,280.5,304,589,335,4416,4274,920,3222,4031,1652,715
36,AEG37,ALB,2020,191.5,361,631,393,4435,4373,970,3238,4050,1899,851
37,AEG38,ALB,2020,62,332,616,495,3226,3072,1011,2456,2898,1932,1054
38,AEG39,ALB,2020,275,337,629,347,4891,4795,978,3564,4478,1747,746
39,AEG40,ALB,2020,105.5,423.5,764,575,3813,3660.5,1202,3024.5,3497,1978.5,1000.5
40,AEG41,ALB,2020,189.5,333.5,639.5,407.5,4231,4122,986.5,3199.5,3909.5,1838.5,863.5
41,AEG42,ALB,2020,116.5,373,719,485,4207,3981,1154,3184,3795,2005,1002
42,AEG43,ALB,2020,152.5,376,721.5,482.5,4268,4144.5,1173,3294.5,3918,1930.5,920.5
43,AEG44,ALB,2020,38.5,388,729,516,4010,3841,1111.5,3072,3634.5,1863.5,868.5
44,AEG45,ALB,2020,127.5,384,769.5,503,4003,4093,1186,3197,3739,1922.5,961
45,AEG46,ALB,2020,77,347,683,406.5,4615,4464,1074,3431,4231,1859.5,836
46,AEG47,ALB,2020,20,659,965,988,3399,3222,1557,2648,2986,2950,1671
47,AEG48,ALB,2020,9,636.5,904.5,936.5,2856,2639,1378,2232.5,2508.5,2806,1700.5
48,AEG49,ALB,2020,37.5,575.5,957.5,907,4044,3822.5,1612.5,3098.5,3546,2950.5,1539
49,AEG50,ALB,2020,202,360,638,408,3987,3867,1031,3061,3708,1771,884
50,HEG01,HAI,2020,83.025,538.5,873,750.5,3727,3478.5,1350,2774,3244,2509,1324
51,HEG02,HAI,2020,31.825,513,844,778,3367,3217,1374,2671,3033,2384,1329
52,HEG03,HAI,2020,45.025,505.5,853,745.5,3419.5,3223.5,1338,2693.5,3064,2350.5,1270.5
53,HEG04,HAI,2020,83.775,315,582,361,3657,3505,894,2682,3286,1662,785
54,HEG05,HAI,2020,40.675,495,796,682.5,3664.5,3542.5,1280,2848,3332.5,2300.5,1254
55,HEG06,HAI,2020,112.05,363,651,438.5,3930.5,3773,1104.5,3018,3571,2101.5,1068.5
56,HEG07,HAI,2020,45.425,457,801,689,3864,3562,1413,3080,3478,2273,1181
57,HEG08,HAI,2020,24.775,387,748,545,3993,3905,1311,3149,3617,2123,1079
58,HEG09,HAI,2020,48.525,541,848,818,3282,3082,1363,2558,2900,2621,1455
59,HEG10,HAI,2020,71.475,379.5,688,508.5,3344.5,3178,1093.5,2545,2976.5,2086.5,1064.5
60,HEG11,HAI,2020,71.675,495,830,772,3222,3191,1331,2532,2883,2154,1206
61,HEG12,HAI,2020,51.125,359,664.5,442,4206,4070,1066.5,3099,3857,2146,1055.5
62,HEG13,HAI,2020,171,553.5,961,851,3721.5,3596.5,1345,2869,3330.5,2239,1262.5
63,HEG14,HAI,2020,99.775,418,732,521,4159,3980,1150,3132,3768,2205,1072
64,HEG15,HAI,2020,37.475,393,694.5,516,4107,3956.5,1102,3112.5,3739,2102.5,1008.5
65,HEG16,HAI,2020,16.425,490,792,694,3262,3029,1327,2612,2938,2315,1289
66,HEG17,HAI,2020,39.175,517.5,851,750.5,3434.5,3271.5,1393,2716.5,3066,2480.5,1372
67,HEG18,HAI,2020,25.975,486.5,837,712,3527,3341,1380,2768.5,3151,2467,1329
68,HEG21,HAI,2020,62.475,464.5,792,676.5,3498.5,3363.5,1325,2717.5,3126,2464,1306.5
69,HEG19,HAI,2020,69.175,454,776,638,3657,3403,1267,2805,3254,2306,1170
70,HEG20,HAI,2020,34.575,504,820,744,3489,3301,1341,2724,3115,2389,1294
71,HEG22,HAI,2020,149.05,340,679,471.5,4016.5,3849.5,1143,3017,3613,2054,1010
72,HEG23,HAI,2020,50.775,527.5,821.5,734.5,3526,3355.5,1311,2678,3117.5,2257,1177
73,HEG24,HAI,2020,62.475,432,775,580,3733,3572,1211,2909,3399,2152,1124
74,HEG25,HAI,2020,28.875,535.5,840.5,873.5,3145,2960,1388,2423,2774,2634,1486
75,HEG26,HAI,2020,37.775,538,840,796,3357,3129.5,1369,2578.5,2961.5,2457.5,1336
76,HEG27,HAI,2020,205.7,319.5,604.5,412,3743,3577,1016.5,2820.5,3397,1935.5,942.5
77,HEG28,HAI,2020,31.425,489,775,716,3600,3382,1266.5,2716.5,3195,2422,1271
78,HEG29,HAI,2020,96.125,448.5,704.5,687.5,3475,3262,1146,2562,3065.5,2336,1201.5
79,HEG30,HAI,2020,67.775,430,717,619,3527,3356,1152,2716,3156,2346,1251
80,HEG31,HAI,2020,15.725,555.5,885.5,917,3400,3161.5,1476,2606.5,2962.5,2753.5,1527
81,HEG32,HAI,2020,322.875,309,607,340,4381,4256,989,3220,4023,1695,757
82,HEG33,HAI,2020,166.45,272,540,315,4109,3948,878,2941,3692,1643,730
83,HEG34,HAI,2020,86.5,365,682,475,3803,3653,1081,2920,3469,2033,1004
84,HEG35,HAI,2020,233.275,297.5,646,367.5,4770.5,4612,1001,3533,4454.5,1642,738.5
85,HEG36,HAI,2020,126.05,562.5,908,879.5,3374,3204,1485,2638,3001,2740.5,1556
86,HEG37,HAI,2020,69.425,337,626,434,4029,3869,1045,2967,3618,2024,934
87,HEG38,HAI,2020,70.925,411.5,772.5,566.5,4025,3812.5,1304,3075,3607,2231,1147
88,HEG39,HAI,2020,63.2125,433,823,551,4381,4160,1294,3365,3978,2195,1108
89,HEG40,HAI,2020,93.625,431,745.5,567,3375,3187,1150,2628.5,3043,2134.5,1111.5
90,HEG41,HAI,2020,31.225,585,882,870,3335,3134,1426,2604,2978,2670,1554
91,HEG42,HAI,2020,13.075,576,886,878,3238,3070,1448,2536,2853,2732,1529.5
92,HEG43,HAI,2020,63.575,547,848,812,3290,3077,1407,2606,2935,2668,1510
93,HEG44,HAI,2020,12.175,532.5,808,839.5,3240.5,3067.5,1378,2498,2854,2763.5,1510.5
94,HEG45,HAI,2020,46.075,447.5,780.5,650,3519.5,3370,1290.5,2761,3167.5,2368,1218.5
95,HEG46,HAI,2020,22.525,536,838,869,2999.5,2875,1370,2333,2652,2784,1552
96,HEG47,HAI,2020,71.075,466.5,800,688.5,3599.5,3457.5,1273,2783,3231.5,2224,1144.5
97,HEG48,HAI,2020,88.3125,503,845,722,3776,3561,1384,2938,3392,2415,1239
98,HEG49,HAI,2020,101.075,407,768.5,563.5,3904.5,3720.5,1284.5,3028,3514,2163,1057.5
99,HEG50,HAI,2020,47.275,510.5,831.5,724.5,3706.5,3527.5,1394.5,2861.5,3316.5,2308,1194.5
100,SEG01,SCH,2020,272.15,294.5,552.5,363.5,3931.5,3858,941,2788,3481.5,1615.5,748
101,SEG02,SCH,2020,146.4,287,605,332.5,4691.5,4509,1002.5,3369,4260.5,1755.5,810.5
102,SEG03,SCH,2020,290.9,346.5,624,375.5,4709,4544.5,927.5,3219,4257.5,1832,850
103,SEG04,SCH,2020,285.8,278.5,557.5,325,4409,4207,899,3118.5,3969.5,1669.5,798
104,SEG05,SCH,2020,230.5,342.5,668.5,415.5,4979.5,4748.5,1116.5,3484,4431.5,2015.5,933
105,SEG06,SCH,2020,149.6,334,653,383,4979,4915,1053,3522,4455,2134,953
106,SEG07,SCH,2020,284.5,319.5,627.5,326,5312.5,5197.5,958,3666.5,4920,1760.5,793.5
107,SEG08,SCH,2020,246.95,344,710,384,4794,4614,1139,3491,4335,1895,891
108,SEG09,SCH,2020,86.45,344,680,440,4492,4156,1097,3231,3971,2141,995
109,SEG10,SCH,2020,197.8,417,723,579,4412,4169,1163,3163,3932,2339,1158
110,SEG11,SCH,2020,183.5,387,699.5,442.5,4496,4444,1040,3234.5,4058.5,2116,1016.5
111,SEG12,SCH,2020,213.35,318,634,399,4673,4479,1135,3315,4143,1803,823
112,SEG13,SCH,2020,233.8,469,801,738,3599,3418,1322,2737,3180,2565,1431
113,SEG14,SCH,2020,180.2,272,594.5,361.5,4522.5,4347,1064,3142,3908,1904.5,860.5
114,SEG15,SCH,2020,172.75,393.5,735.5,556.5,4208.5,4058.5,1215.5,3074.5,3718.5,2085.5,1029.5
115,SEG16,SCH,2020,321.35,299,580,318,4978,4800,916,3497,4566,1765,820
116,SEG17,SCH,2020,31.4,433,736,607,3849,3669,1197,2844,3363,2496,1296
117,SEG18,SCH,2020,145.85,390.5,683.5,565,3547,3336.5,1183,2651.5,3122,2041,1022.5
118,SEG19,SCH,2020,227.15,348,670,413,4838,4625,1027,3415,4452,1903,906
119,SEG20,SCH,2020,142.95,404,728,537,4280,4047.5,1201,3119,3754.5,2549,1248.5
120,SEG21,SCH,2020,99.35,362,670,505,4023,3829,1063,2849,3493,2235,1084
121,SEG22,SCH,2020,254.95,287,654.5,335.5,4675,4481,1076.5,3427.5,4241.5,1602,715.5
122,SEG23,SCH,2020,145.55,377,677,552,4260,3999,1212,2972,3649,2195,1064
123,SEG24,SCH,2020,130.45,312,570.5,493.5,3657,3404,1055,2572.5,3116.5,1986,948.5
124,SEG25,SCH,2020,83.45,340,629,434.5,4191.5,3913.5,1057.5,2995.5,3640.5,2078,990
125,SEG26,SCH,2020,95.1,448,806,609,4276.5,4058,1361.5,3227,3783,2119.5,1076
126,SEG27,SCH,2020,33.05,356,626.5,568,3771.5,3488.5,1097,2623,3207.5,2299,1136.5
127,SEG28,SCH,2020,196,429,766,593,4226,3997,1246,3068,3712,2265,1149
128,SEG29,SCH,2020,148,291.5,610.5,355.5,4507,4326,1046,3279,4052.5,1744.5,785
129,SEG30,SCH,2020,158.7,341,654,502,3713,3551.5,1116.5,2806,3364.5,1863,951.5
130,SEG31,SCH,2020,154.4,321,628,466,3700,3502,1064,2773,3323,1903,931
131,SEG32,SCH,2020,166.2,312,621,453,3658.5,3561,1070.5,2771.5,3306,1805,906
132,SEG33,SCH,2020,165.5,397,816,519,4333,4145,1340,3304,3881,2288,1133
133,SEG34,SCH,2020,138.45,373,757,487,4136,4002,1301,3232,3736,2158,1041
134,SEG35,SCH,2020,131.65,452,797,670,3723,3550,1353,2860,3316,2474,1352
135,SEG36,SCH,2020,243.4,372.5,765,458.5,4649.5,4534,1283,3571,4208.5,2159,1017
136,SEG37,SCH,2020,68.15,425,752,719,3467,3278,1340,2619,3029,2271,1253
137,SEG38,SCH,2020,59.25,620,912,952,3078,2889,1452,2421,2719,2783,1867
138,SEG39,SCH,2020,76.4,487,835,754,3458,3278,1392,2696,3079,2556,1438
139,SEG40,SCH,2020,188.4,344,610,444,4220,4064,1065,3010,3787,1801,872
140,SEG41,SCH,2020,377.1,416,780,565,4540,4349,1295,3324,4056,2093,1033
141,SEG42,SCH,2020,121.1,385,690,521,3712,3568,1150,2799,3328,2112,1099
142,SEG43,SCH,2020,176,458.5,757.5,657,3368.5,3132.5,1231.5,2527.5,2952.5,2539.5,1395.5
143,SEG44,SCH,2020,126.95,443.5,789,621,3692,3488,1280.5,2786,3258,2405.5,1243
144,SEG45,SCH,2020,88.4,397.5,729,511,3573,3441,1182.5,2795,3231,2099,1083
145,SEG46,SCH,2020,173.85,510.5,853,716,3921.5,3695.5,1358,2984,3498,2490,1372.5
146,SEG47,SCH,2020,194.25,410.5,772,592.5,3962,3754.5,1275,3044,3553,2337,1201
147,SEG48,SCH,2020,26,482.5,806,760,3398,3218,1356,2611.5,2987,2580.5,1461.5
148,SEG49,SCH,2020,55.05,459,794.5,665.5,3608.5,3394,1320.5,2784.5,3215,2316,1271
149,SEG50,SCH,2020,80.6,349,648.5,445.5,4055,3865.5,1095.5,2994.5,3635.5,1906,898
150,AEG01,ALB,2018,197.5,363,703,471,4594,4427,1079,3440,4195,2102,962
151,AEG02,ALB,2018,213,341.5,671.5,407,4756,4607,959.5,3388,4421.5,1931.5,865.5
152,AEG03,ALB,2018,119,398.5,733,508.5,4100,3994.5,1143,3195,3783,2080,1009
153,AEG04,ALB,2018,299.5,336,690.5,380,5535.5,5463.5,1048,3944,5153.5,1973.5,879
154,AEG05,ALB,2018,206.5,329,612,348,4528,4426,904,3283,4229,1774,788
155,AEG06,ALB,2018,222.5,354,618,416,4153,3978,942,2952,3775,2013,910
156,AEG07,ALB,2018,19.5,571.5,880,841,3702,3415.5,1450.5,2856.5,3261,2812.5,1495.5
157,AEG08,ALB,2018,205,577,900,809.5,3794.5,3552.5,1390,2918,3415.5,2416.5,1235
158,AEG09,ALB,2018,46,627,935,906,3465,3281,1438,2685,3076,2689,1446
159,AEG10,ALB,2018,73,422.5,762,586,4158.5,3967.5,1221,3162,3742,2384,1163.5
160,AEG11,ALB,2018,224,292,600,303,5143,5055,896,3650,4750,1708,753
161,AEG12,ALB,2018,231,389,709,461,4489,4333,1086,3385,4125,2091,974
162,AEG13,ALB,2018,190.5,355,657,400,5146,5104,999,3660,4704,2115,951
163,AEG14,ALB,2018,244.5,381.5,741.5,464,4898,4716,1086.5,3643,4525.5,1992.5,881
164,AEG15,ALB,2018,283,291.5,595.5,285,5543.5,5443,918.5,3889,5202,1854.5,804
165,AEG16,ALB,2018,231.5,350,682.5,428.5,4262.5,4090.5,1028.5,3255,3963,1810,807.5
166,AEG17,ALB,2018,207,433,804,554,4515,4291,1213,3479,4135,2195,1012
167,AEG18,ALB,2018,210,365.5,754.5,456,4930,4727,1128,3758,4592.5,1889.5,833
168,AEG19,ALB,2018,273.5,462,812,627,4868,4668,1342,3532,4340,2856,1369
169,AEG20,ALB,2018,283,343,770,397,5151,4903,1222,3823,4675,2291,1047
170,AEG21,ALB,2018,198,343.5,694,458.5,4283,4054.5,1069.5,3221,3902.5,2103,980
171,AEG22,ALB,2018,119.5,464,808,575,4757,4375,1275,3663,4349,2314,1060
172,AEG23,ALB,2018,265,302.5,626.5,362,4719,4578.5,984.5,3497.5,4343.5,1848.5,800.5
173,AEG24,ALB,2018,268,316,691,410.5,5164,5080,1046.5,3775.5,4832,1877.5,815.5
174,AEG25,ALB,2018,33.5,540,845.5,829,3493,3194,1361,2654.5,3071,2698,1484
175,AEG26,ALB,2018,50,515,836,768,3546,3314,1404,2729,3129,2659,1385
176,AEG27,ALB,2018,64.5,665,1023.5,974.5,3824,3645,1598.5,3007.5,3417.5,2789,1505
177,AEG28,ALB,2018,69.5,561,915,800,3891.5,3721,1440,3036,3511,2748.5,1422
178,AEG29,ALB,2018,71,405,763,579,3992,3808,1220,3097,3603,2324,1141
179,AEG30,ALB,2018,210.5,303,619,362,4309,4171,1009,3262,3971,1784,790
180,AEG31,ALB,2018,122,490,801.5,677,3724,3644.5,1252,2888,3391.5,2378,1207.5
181,AEG32,ALB,2018,81.5,412,741,524,4210,4088,1160,3203,3865,2117,990
182,AEG33,ALB,2018,78,459,817,680.5,4003,3846.5,1344.5,3036,3590,2684,1349
183,AEG34,ALB,2018,103,425,753.5,567.5,4087.5,3855.5,1238,3140.5,3692.5,2468.5,1214.5
184,AEG35,ALB,2018,227.5,304,598,311,4743,4614,939,3433,4379,1806,801
185,AEG36,ALB,2018,133.5,279,582,317,4481,4339,945,3274,4131,1736,772
186,AEG37,ALB,2018,363,368,664,414,4733,4554,1012,3473,4303,2088,939
187,AEG38,ALB,2018,138,318,607,368,4540,4369,967,3311,4157,1728,777
188,AEG39,ALB,2018,383.5,338,633,394,4486,4324,914,3244,4136,1684,747
189,AEG40,ALB,2018,181,366,694,454.5,4265.5,4179.5,1069,3294,3961,1930.5,915.5
190,AEG41,ALB,2018,266.5,335.5,656,383,4811,4722.5,953.5,3490,4491,1800.5,785
191,AEG42,ALB,2018,230,403,731,480,4401,4186,1112,3278,4003,2040,1024
192,AEG43,ALB,2018,100,385.5,754.5,482,4886.5,4763,1168,3757.5,4516.5,2074,943
193,AEG44,ALB,2018,231.5,345.5,683.5,444.5,4650.5,4302,1042.5,3413.5,4239,1861,830.5
194,AEG45,ALB,2018,252.5,357,710,449.5,4406,4411.5,1008.5,3377,4196,1547.5,699
195,AEG46,ALB,2018,219,399.5,748,442.5,4410,4225,1139,3369,4057,2024.5,917.5
196,AEG47,ALB,2018,12,629,974,897,3728,3539,1526,2908,3300,2890,1575
197,AEG48,ALB,2018,6.5,645.5,909.5,907.5,2902,2689,1344.5,2258.5,2570.5,2684.5,1575.5
198,AEG49,ALB,2018,93.5,455.5,788.5,628,4318,4134.5,1292.5,3205.5,3876,2569,1218
199,AEG50,ALB,2018,375,328,657,348,4981,4928,1000,3733,4689,1720,760
