biomass_gm2,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
165.2,507.0,837.0,764.0,3593.0,3369.0,1408.0,2782.0,3200.0,2766.0,1492.0
181.15,385.0,730.0,561.0,3869.0,3687.0,1253.0,2961.0,3471.0,2540.0,1304.0
123.1,331.0,698.0,386.0,4730.0,4574.0,1155.0,3672.0,4405.0,2034.0,929.0
289.7,315.0,677.0,356.0,5020.0,4862.0,1101.0,3795.0,4678.0,1953.0,859.0
138.75,314.0,722.0,401.0,5145.0,4985.0,1190.0,3955.0,4783.0,2010.0,885.0
189.45,302.0,661.0,358.0,4815.0,4659.0,1104.0,3614.0,4498.0,1959.0,918.0
167.15,316.0,724.0,384.0,4856.0,4716.0,1188.0,3805.0,4533.0,1940.0,864.0
147.5,315.0,788.0,363.0,4999.0,4795.0,1315.0,3930.0,4638.0,2167.0,986.0
187.85,283.0,645.0,356.0,4473.0,4264.0,1051.0,3426.0,4149.0,1869.0,851.0
109.1,371.0,764.0,465.0,4429.0,4223.0,1329.0,3524.0,4091.0,2326.0,1075.0
68.2,587.0,898.0,947.0,3140.0,2954.0,1488.0,2485.0,2803.0,2976.0,1678.0
55.75,344.0,695.0,486.0,3768.0,3606.0,1206.0,2987.0,3437.0,2226.0,1068.0
118.55,304.0,695.0,391.0,4077.0,3935.0,1222.0,3245.0,3720.0,2008.0,900.0
89.1,315.0,673.0,404.0,3935.0,3797.0,1169.0,3141.0,3643.0,2061.0,969.0
88.4,633.0,983.0,1041.0,3296.0,3110.0,1613.0,2610.0,2939.0,3096.0,1759.0
110.85,483.0,854.0,760.0,3539.0,3342.0,1476.0,2770.0,3144.0,2918.0,1530.0
119.55,308.0,700.0,401.0,4409.0,4259.0,1226.0,3475.0,4069.0,2132.0,941.0
182.05,324.0,677.0,405.0,4923.0,4765.0,1115.0,3622.0,4600.0,2038.0,976.0
109.8,305.0,626.0,347.0,4256.0,4058.0,1032.0,3198.0,3929.0,1898.0,881.0
333.3,307.0,679.0,352.0,5220.0,5056.0,1116.0,3917.0,4869.0,1988.0,875.0
113.0,288.0,606.0,365.0,4149.0,3998.0,1042.0,3128.0,3771.0,1917.0,862.0
265.5,308.0,682.0,346.0,5404.0,5234.0,1124.0,4028.0,5038.0,1940.0,845.0
73.3,343.0,736.0,433.0,4460.0,4347.0,1215.0,3538.0,4146.0,1956.0,893.0
166.6,307.0,659.0,355.0,4904.0,4741.0,1091.0,3676.0,4560.0,1831.0,811.0
117.8,346.0,730.0,474.0,4239.0,4071.0,1251.0,3300.0,3869.0,2119.0,995.0
142.1,294.0,668.0,365.0,4097.0,4001.0,1122.0,3169.0,3740.0,1936.0,881.0
194.7,303.0,689.0,334.0,5000.0,4845.0,1136.0,3764.0,4660.0,1921.0,851.0
60.05,438.0,773.0,651.0,3608.0,3392.0,1335.0,2776.0,3232.0,2640.0,1348.0
55.2,246.0,623.0,289.0,4354.0,4216.0,1056.0,3285.0,3989.0,1721.0,734.0
22.45,364.0,709.0,497.0,3595.0,3399.0,1209.0,2790.0,3242.0,2058.0,1012.0
79.15,325.0,715.0,388.0,4651.0,4458.0,1175.0,3518.0,4307.0,2225.0,1021.0
68.45,231.0,629.0,270.0,4833.0,4688.0,1081.0,3709.0,4498.0,1668.0,714.0
115.85,343.5,675.0,416.5,4305.5,4176.5,1114.5,3325.0,3969.0,2085.5,941.5
61.1,414.0,840.0,613.0,3707.0,3576.0,1372.0,2973.0,3358.0,2568.0,1307.0
65.9,400.0,816.0,573.0,3901.0,3745.0,1377.0,3105.0,3572.0,2353.0,1212.0
157.75,294.0,652.0,341.0,4514.0,4343.0,1079.0,3441.0,4169.0,1770.0,782.0
66.85,410.5,805.0,518.5,4224.0,4060.0,1344.5,3356.0,3881.0,2059.5,959.0
69.55,353.5,718.0,512.5,3927.5,3699.0,1236.0,2990.5,3530.0,2058.5,974.5
251.9,213.5,497.5,250.0,3565.0,3436.0,823.5,2707.0,3349.5,1319.5,577.5
17.15,444.0,806.0,615.0,3439.0,3329.0,1319.0,2796.0,3146.0,2249.0,1150.0
59.95,453.0,815.0,640.0,3551.0,3364.0,1334.0,2826.0,3249.0,2308.0,1204.0
45.2,335.5,666.0,427.0,4058.0,3916.5,1161.5,3159.5,3733.0,2049.5,968.0
182.15,251.0,603.0,276.0,4865.0,4721.0,978.0,3600.0,4532.0,1602.0,670.0
118.65,317.0,716.0,401.0,4602.0,4414.0,1187.0,3446.0,4205.0,1931.0,899.0
48.65,229.0,579.0,243.0,4668.0,4578.0,952.0,3596.0,4470.0,1571.0,681.0
191.85,227.0,597.0,253.0,5288.0,5178.0,990.0,3852.0,4957.0,1666.0,716.0
33.2,342.0,708.0,471.0,3979.0,3779.0,1230.0,3056.0,3605.0,2157.0,992.0
59.45,316.0,684.0,410.0,4410.0,4232.0,1147.0,3241.0,3994.0,2087.0,968.0
71.65,341.0,722.0,376.0,4461.0,4305.0,1127.0,3494.0,4147.0,1859.0,814.0
21.6,456.0,842.0,670.0,3668.0,3479.0,1416.0,2928.0,3327.0,2579.0,1297.0
37.2,412.0,775.0,656.0,3418.0,3214.0,1313.0,2698.0,3103.0,2595.0,1299.0
46.7,317.0,709.0,404.0,4213.0,4052.0,1210.0,3316.0,3888.0,1847.0,843.0
92.1,302.0,671.0,350.0,4604.0,4457.0,1112.0,3633.0,4337.0,1720.0,753.0
149.95,287.0,676.0,373.0,4122.0,3972.0,1186.0,3284.0,3823.0,1849.0,840.0
331.95,262.0,567.0,250.0,5418.0,5307.0,856.0,3875.0,5120.0,1584.0,677.0
203.4,339.0,694.0,342.0,5055.0,4904.0,1106.0,3870.0,4719.0,1618.0,670.0
128.65,370.0,632.0,459.0,3979.0,3807.0,1034.0,2901.0,3532.0,2191.0,1081.0
232.95,237.0,594.5,305.5,4217.0,3917.0,1100.0,3168.0,3754.0,1660.5,703.5
241.65,212.0,560.0,207.0,5107.0,4970.0,922.0,3673.0,4722.0,1516.0,638.0
41.85,522.0,914.0,747.0,3843.0,3643.0,1445.0,2975.0,3421.0,2615.0,1429.0
52.7,373.0,730.0,525.0,3727.0,3529.0,1174.0,2779.0,3295.0,2238.0,1077.0
71.3,333.0,617.0,496.0,3606.0,3363.0,1060.0,2558.0,3126.0,2333.0,1176.0
177.55,279.5,635.5,336.5,4074.5,3836.0,1001.0,3122.5,3759.5,1751.0,785.5
236.45,266.0,620.0,278.0,4603.0,4462.0,1050.0,3503.0,4320.0,1583.0,727.0
195.9,199.0,562.0,193.0,4837.0,4821.0,979.0,3670.0,4555.0,1574.0,653.0
226.75,200.0,554.0,205.0,4582.0,4410.0,961.0,3470.0,4249.0,1443.0,585.0
229.15,259.0,601.0,260.0,5356.0,5246.0,1008.0,3988.0,5037.0,1498.0,633.0
215.25,287.0,672.0,321.0,4812.0,4684.0,1119.0,3749.0,4517.0,1748.0,747.0
238.35,232.0,575.0,225.0,5387.5,5280.0,940.5,3944.0,5047.5,1457.5,579.5
239.5,229.0,561.0,308.0,3909.0,3680.0,1021.0,2970.0,3582.0,1637.0,715.0
161.4,387.0,894.0,552.0,4319.0,4173.0,1387.0,3475.0,3999.0,2214.0,1097.0
122.5,302.0,716.0,374.0,4517.0,4350.0,1184.0,3565.0,4209.0,1670.0,736.0
223.1,200.5,543.5,225.5,5167.0,4986.0,922.5,3753.0,4831.0,1456.5,590.0
402.15,230.0,611.0,205.0,5787.0,5706.0,1030.0,4406.0,5574.0,1782.0,760.0
367.6,283.0,616.0,318.0,4204.0,4042.0,964.0,3209.0,3946.0,1762.0,785.0
201.0,330.0,668.0,385.0,3673.0,3531.0,1043.0,2816.0,3365.0,2020.0,976.0
275.7,336.0,719.0,343.5,4909.5,4843.0,1125.5,3749.5,4575.5,1763.5,790.5
271.75,295.0,649.0,313.0,4522.0,4351.0,1053.0,3449.0,4220.0,1814.0,806.0
255.45,252.0,617.0,238.0,5953.0,5868.0,1030.0,4467.0,5672.0,1567.0,630.0
253.3,456.0,826.0,604.0,3582.0,3434.0,1274.0,2881.0,3265.0,2332.0,1293.0
168.0,346.0,763.0,359.0,4894.0,4763.0,1257.0,3717.0,4511.0,1716.0,772.0
212.2,275.5,585.5,283.5,4741.5,4574.0,979.5,3484.5,4366.0,1537.5,650.5
73.0,444.0,785.0,623.0,4099.0,3869.0,1270.0,3131.0,3689.0,2486.0,1221.0
224.0,312.0,633.0,353.0,5124.0,4920.0,981.0,3690.0,4711.0,1879.0,839.0
231.0,385.0,701.0,454.0,4457.0,4284.0,1059.0,3344.0,4105.0,2028.0,942.0
190.5,369.0,665.0,431.0,5016.0,4863.0,1013.0,3621.0,4596.0,2109.0,971.0
244.5,379.0,731.0,457.0,4895.0,4734.0,1079.0,3642.0,4522.0,1987.0,883.0
283.0,292.0,608.0,295.0,5454.0,5359.0,926.0,3852.0,5128.0,1849.0,801.0
210.0,367.0,751.0,456.0,4948.0,4786.0,1121.0,3759.0,4605.0,1889.0,832.0
283.0,333.0,765.0,375.0,5258.0,5067.0,1191.0,3934.0,4837.0,2120.0,953.0
198.0,344.0,703.0,461.0,4362.0,4160.0,1074.0,3287.0,3981.0,2053.0,954.0
119.5,440.0,780.0,509.0,4800.0,4663.0,1243.0,3728.0,4451.0,2284.0,1037.0
69.5,535.0,872.0,758.0,3880.0,3701.0,1385.0,3004.0,3503.0,2696.0,1373.0
71.0,408.0,754.0,579.0,3910.0,3714.0,1199.0,3011.0,3507.0,2312.0,1130.0
210.5,310.0,602.0,355.0,4397.0,4264.0,994.0,3282.0,4039.0,1777.0,783.0
122.0,500.0,825.0,716.0,3931.0,3755.0,1324.0,3022.0,3559.0,2610.0,1326.0
81.5,435.0,759.0,575.0,4098.0,3958.0,1200.0,3141.0,3743.0,2264.0,1091.0
78.0,455.0,805.0,677.0,4088.0,3874.0,1339.0,3088.0,3659.0,2657.0,1322.0
103.0,430.0,751.0,567.0,4071.0,3863.0,1227.0,3133.0,3677.0,2474.0,1212.0
227.5,308.0,598.0,311.0,4741.0,4619.0,940.0,3438.0,4395.0,1806.0,801.0
133.5,287.0,596.0,326.0,4498.0,4324.0,945.0,3290.0,4131.0,1750.0,774.0
363.0,357.0,664.0,405.0,4661.0,4491.0,1005.0,3422.0,4273.0,2089.0,935.0
138.0,310.0,596.0,347.0,4499.0,4336.0,953.0,3287.0,4120.0,1737.0,777.0
383.5,334.0,632.0,395.0,4462.0,4293.0,920.0,3253.0,4147.0,1671.0,741.0
181.0,353.0,685.0,435.0,4362.0,4228.0,1060.0,3377.0,4023.0,1926.0,900.0
266.5,339.0,652.0,385.0,4802.0,4660.0,963.0,3500.0,4488.0,1813.0,791.0
230.0,398.0,737.0,468.0,4455.0,4264.0,1138.0,3357.0,4094.0,2038.0,1001.0
231.5,325.0,664.0,399.0,4574.0,4468.0,1022.0,3376.0,4179.0,1821.0,809.0
219.0,334.0,635.0,360.0,4414.0,4407.0,947.0,3261.0,4100.0,1730.0,756.0
93.5,443.0,785.0,622.0,4324.0,4105.0,1298.0,3201.0,3866.0,2569.0,1219.0
185.2,358.0,680.0,478.0,3995.0,3806.0,1083.0,2925.0,3563.0,1996.0,960.0
97.8,427.0,765.0,631.0,3600.0,3428.0,1232.0,2767.0,3242.0,2164.0,1108.0
190.05,434.0,777.0,595.0,3636.0,3503.0,1246.0,2820.0,3294.0,2496.0,1346.0
322.7,382.0,730.0,514.0,4424.0,4275.0,1184.0,3267.0,4019.0,2130.0,1074.0
204.0,339.5,668.0,416.0,4694.5,4529.0,1005.0,3436.5,4288.5,2009.5,897.0
83.36,441.0,786.0,632.0,3191.0,3091.0,1184.0,2607.0,2959.0,2154.0,1228.0
87.7,399.0,755.0,484.0,4375.0,4212.0,1185.0,3352.0,4032.0,2002.0,972.0
115.0,378.5,720.0,493.0,3970.0,3777.0,1177.0,3044.0,3591.5,2037.0,971.5
131.3,360.5,677.5,492.5,3809.5,3657.0,1101.5,2882.0,3440.5,1999.0,967.0
193.5,362.0,717.0,471.0,3979.5,3812.0,1149.0,3063.0,3658.0,2027.0,965.5
63.85,432.0,759.0,607.0,3439.0,3266.0,1205.0,2713.0,3102.0,2242.0,1161.0
42.45,444.0,779.0,638.0,3361.0,3182.0,1239.0,2661.0,3033.0,2329.0,1227.0
117.8,377.0,698.0,476.0,4043.5,3869.5,1141.0,3069.5,3660.0,1995.0,950.5
274.45,353.0,678.0,428.0,4581.0,4406.0,1068.0,3306.0,4177.0,2024.0,962.0
164.65,311.0,647.0,382.0,4114.0,3990.0,1050.0,3127.0,3808.0,1742.0,847.0
274.05,335.0,682.0,413.0,5012.0,4879.0,1080.0,3645.0,4643.0,1826.0,890.0
155.85,303.0,622.0,359.0,4515.0,4402.0,1003.0,3300.0,4167.0,1828.0,816.0
214.9,339.0,674.0,377.0,4251.0,4122.0,989.0,3246.0,3916.0,1814.0,831.0
64.55,373.0,734.0,461.0,4329.0,4163.0,1163.0,3349.0,3986.0,2069.0,939.0
76.3,479.0,814.0,739.0,3481.0,3289.0,1339.0,2696.0,3110.0,2561.0,1292.0
198.0,343.0,648.0,430.0,3889.0,3699.0,1052.0,2971.0,3545.0,1814.0,873.0
190.15,374.0,709.0,424.0,4728.0,4575.0,1074.0,3569.0,4413.0,1811.0,862.0
238.2,357.0,687.0,450.0,4060.0,3869.0,1098.0,3081.0,3695.0,1912.0,905.0
420.75,464.0,789.0,739.0,3562.0,3371.0,1307.0,2703.0,3143.0,2533.0,1411.0
367.6,280.0,629.0,330.0,4629.0,4503.0,1051.0,3379.0,4194.0,1590.0,716.0
178.6,337.0,639.0,424.0,4266.0,4035.0,1062.0,3088.0,3745.0,2054.0,986.0
80.85,479.0,825.0,632.0,4248.0,4034.0,1371.0,3184.0,3755.0,2116.0,1079.0
186.25,355.0,625.0,568.0,3838.0,3570.0,1103.0,2664.0,3261.0,2305.0,1140.0
169.95,305.0,623.5,371.5,4476.0,4306.5,1049.0,3266.0,4033.0,1741.0,787.0
296.5,327.0,619.0,472.0,3643.0,3470.0,1073.0,2742.0,3277.0,1831.0,919.0
206.3,429.0,743.0,710.0,3400.0,3143.0,1298.0,2562.0,2969.0,2246.0,1229.0
182.95,491.0,802.0,774.0,3425.0,3238.0,1338.0,2634.0,3015.0,2587.0,1461.0
62.0,478.0,811.0,698.0,3891.0,3655.0,1312.0,2959.0,3442.0,2597.0,1358.0
14.5,324.0,676.0,381.0,4655.0,4470.0,1129.0,3506.0,4241.0,2101.0,970.0
116.5,391.0,739.0,497.0,4129.0,3953.0,1174.0,3177.0,3767.0,2203.0,1069.0
234.0,331.0,654.0,399.0,4951.0,4767.0,1059.0,3597.0,4556.0,1987.0,918.0
209.5,349.0,699.0,446.0,4541.0,4363.0,1127.0,3446.0,4192.0,1942.0,920.0
191.5,322.0,661.0,387.0,4475.0,4301.0,1084.0,3421.0,4136.0,1918.0,909.0
176.5,332.0,679.0,387.0,4958.0,4809.0,1089.0,3697.0,4596.0,1836.0,830.0
181.0,336.0,805.0,418.0,5054.0,4918.0,1365.0,3967.0,4667.0,2144.0,970.0
143.0,294.0,677.0,343.0,4944.0,4783.0,1112.0,3815.0,4608.0,1866.0,809.0
70.5,475.0,848.0,628.0,4177.0,4009.0,1423.0,3343.0,3829.0,2530.0,1260.0
33.5,572.0,898.0,883.0,3425.0,3236.0,1494.0,2698.0,3061.0,2821.0,1536.0
34.0,382.0,745.0,548.0,3887.0,3702.0,1281.0,3070.0,3534.0,2316.0,1158.0
128.0,355.0,729.0,445.0,4317.0,4169.0,1231.0,3397.0,3960.0,1945.0,904.0
154.0,382.0,709.0,503.0,3948.0,3799.0,1209.0,3072.0,3608.0,2147.0,1051.0
54.5,610.0,967.0,973.0,3619.0,3440.0,1579.0,2858.0,3240.0,2884.0,1587.0
15.5,474.0,820.0,704.0,3671.0,3511.0,1398.0,2877.0,3307.0,2661.0,1379.0
36.5,432.0,819.0,579.0,4210.0,4044.0,1383.0,3353.0,3849.0,2417.0,1190.0
202.5,301.0,606.0,299.0,5034.0,4866.0,966.0,3613.0,4680.0,1730.0,765.0
170.5,304.0,631.0,337.0,4492.0,4319.0,1014.0,3378.0,4161.0,1650.0,739.0
284.5,327.0,658.0,348.0,5253.0,5099.0,1031.0,3830.0,4871.0,1869.0,815.0
93.5,352.0,633.0,481.0,3495.0,3362.0,1042.0,2676.0,3188.0,1953.0,1062.0
308.0,334.0,665.0,381.0,5042.0,4829.0,1085.0,3743.0,4686.0,2005.0,905.0
184.5,339.0,694.0,433.0,4051.0,3928.0,1140.0,3196.0,3725.0,1873.0,883.0
247.5,326.0,660.0,414.0,4553.0,4403.0,1066.0,3440.0,4227.0,1847.0,868.0
186.0,365.0,754.0,471.0,4525.0,4378.0,1242.0,3550.0,4217.0,1935.0,945.0
78.5,332.0,676.0,422.0,4090.0,3976.0,1127.0,3141.0,3757.0,1954.0,920.0
149.5,315.0,670.0,379.0,4881.0,4769.0,1072.0,3594.0,4520.0,1852.0,822.0
34.0,523.0,869.0,785.0,3675.0,3486.0,1461.0,2855.0,3287.0,2808.0,1485.0
197.85,266.0,604.0,338.0,4009.0,3838.0,1008.0,3018.0,3637.0,1754.0,789.0
63.4,431.0,750.0,592.0,3369.0,3189.0,1225.0,2637.0,3024.0,2289.0,1213.0
166.65,322.0,653.0,385.0,4282.0,4125.0,1056.0,3197.0,3932.0,2030.0,950.0
359.95,221.0,561.0,252.0,4728.0,4602.0,948.0,3507.0,4398.0,1564.0,685.0
185.75,291.0,600.5,350.5,4457.0,4301.0,985.0,3349.0,4082.0,1845.0,810.5
118.8,355.0,731.0,459.0,3995.0,3920.0,1200.0,3271.0,3740.0,1976.0,986.0
83.35,384.0,713.0,520.0,3633.0,3486.0,1168.0,2869.0,3296.0,2097.0,1057.0
412.45,281.0,587.0,335.0,4688.0,4520.0,952.0,3324.0,4315.0,1791.0,812.0
58.8,418.5,753.5,582.0,3367.5,3216.0,1265.0,2624.5,3000.0,2315.0,1248.5
75.85,373.5,685.5,532.5,3503.5,3397.5,1142.0,2676.5,3159.5,2154.5,1120.0
205.1,268.0,555.0,332.5,4036.0,3884.0,932.0,2973.0,3717.5,1735.5,801.0
37.5,428.0,722.0,601.0,3027.0,2847.0,1188.0,2388.0,2734.0,2324.0,1281.0
36.25,424.0,702.0,615.0,3020.0,2807.0,1133.0,2347.0,2700.0,2200.0,1219.0
40.05,363.0,696.0,480.0,3690.0,3520.0,1161.5,2858.0,3334.5,2100.5,1054.0
351.5,251.0,541.0,258.0,4715.0,4547.0,869.0,3309.0,4302.0,1572.0,672.0
347.7,225.0,496.0,230.0,5186.0,5022.0,802.0,3462.0,4750.0,1475.0,628.0
278.45,232.0,573.0,266.0,4241.0,4056.0,969.0,3263.0,3946.0,1562.0,687.0
514.55,236.0,577.0,278.0,5311.0,5196.0,923.0,3770.0,4937.0,1539.0,670.0
145.8,380.0,708.0,504.0,3612.0,3452.0,1156.0,2803.0,3280.0,2152.0,1073.0
220.35,301.0,581.0,345.0,4641.0,4417.0,915.0,3274.0,4288.0,1742.0,778.0
